S,id,areaname,parentid,shortname,level,sort,lng,lat,pop,GDP
86,140300,安阳市,410000,安阳,2,1,114.352486,36.103443,515,
87,520200,运城市,140000,运城,2,11,111.00396,35.022778,,
88,410900,南昌市,360000,南昌,2,6,115.892151,28.676493,,
89,441400,绍兴市,330000,绍兴,2,8,120.582115,29.997116,,
90,469005,平顶山市,410000,平顶山,2,9,113.307716,33.735241,,
91,450400,咸阳市,610000,咸阳,2,8,108.705116,34.333439,,
93,654200,孝感市,420000,孝感,2,16,113.926659,30.926422,,
94,320200,吉安市,360000,吉安,2,3,114.986374,27.111698,,
95,469001,漳州市,350000,漳州,2,9,117.661804,24.510897,,
96,210500,淮安市,320000,淮安,2,2,119.021263,33.597507,,
97,411500,桂林市,450000,桂林,2,6,110.299118,25.274216,,
98,370300,怀化市,430000,怀化,2,5,109.978241,27.550081,,
99,361000,九江市,360000,九江,2,5,115.992813,29.712034,,
100,410600,宿迁市,320000,宿迁,2,6,118.275162,33.963009,,
101,370100,开封市,410000,开封,2,5,114.341446,34.79705,,
102,441300,泰州市,320000,泰州,2,8,119.915176,32.484882,,
103,620800,绵阳市,510000,绵阳,2,13,104.741722,31.46402,,
104,430700,惠州市,440000,惠州,2,7,114.412598,23.079405,,
105,130800,常州市,320000,常州,2,1,119.946976,31.772753,459.2431,
106,320600,郴州市,430000,郴州,2,3,113.032066,25.793589,,
107,511800,凉山彝族自治州,510000,凉山,2,10,102.258743,27.886763,,
108,710200,淄博市,370000,淄博,2,17,118.047646,36.814938,,
109,232700,嘉兴市,330000,嘉兴,2,3,120.750862,30.762653,,
110,420200,红河哈尼族彝族自治州,530000,红河,2,6,103.384186,23.366776,,
111,712400,宜宾市,510000,宜宾,2,19,104.630821,28.760189,,
112,533400,扬州市,320000,扬州,2,12,119.421005,32.393158,,
113,445100,江门市,440000,江门,2,8,113.09494,22.590431,,
114,340100,吉林市,220000,吉林,2,4,126.553017,43.843578,,
115,231200,连云港市,320000,连云港,2,3,119.178818,34.600018,,
116,371700,廊坊市,130000,廊坊,2,6,116.704437,39.523926,,
117,520100,张家口市,130000,张家口,2,11,114.884094,40.811901,,
118,331000,赤峰市,150000,赤峰,2,4,118.956802,42.275318,,
119,350900,衡水市,130000,衡水,2,5,115.665993,37.735096,,
120,321100,贵阳市,520000,贵阳,2,3,106.713478,26.578342,,
121,360100,临汾市,140000,临汾,2,5,111.517975,36.084148,,
122,511400,益阳市,430000,益阳,2,10,112.355042,28.570066,,
123,650200,许昌市,410000,许昌,2,15,113.826065,34.022957,,
124,530600,梅州市,440000,梅州,2,11,116.117584,24.299112,,
125,530900,泸州市,510000,泸州,2,11,105.443352,28.889137,,
126,440600,太原市,140000,太原,2,8,112.549248,37.857014,,
127,370500,贵港市,450000,贵港,2,5,109.602142,23.093599,,
128,710400,宜昌市,420000,宜昌,2,17,111.29084,30.702637,,
129,469035,喀什地区,650000,喀什,2,9,75.989136,39.467663,,
130,360800,滁州市,340000,滁州,2,5,118.316261,32.303627,,
131,712600,肇庆市,440000,肇庆,2,20,112.472527,23.051546,,
,130200,长治市,140000,长治,2,1,113.113556,36.191113,333.4565,
,130300,阿拉善盟,150000,阿拉善,2,1,105.706421,38.844814,23.1334,
,130400,鞍山市,210000,鞍山,2,1,122.995628,41.110626,364.5884,
,130500,白城市,220000,白城,2,1,122.84111,45.619026,203.2356,
,130600,大庆市,230000,大庆,2,1,125.112717,46.590733,290.4532,
